"ROI Name","Diameter mm","Average Counts for Sphere","Average Background Counts","Percent Contrast (4:1)","Percent Contrast (8:1)","Percent Contrast Cold Sphere","Percent Background Variability","Relative Error Lung Insert %"
"Negative Sphere 1","37","3553.5287735834158","15931.005274213316","","","77.69425900991115",""
"Negative Sphere 2","28","4543.1022667857142","15953.310616325312","","","71.522511057130217",""
"Positive Sphere 1","22","93567.638213368686","15968.351620715946","161.98559174173451","69.422396460743357","","",""
"Positive Sphere 2","17","97088.706375742564","15979.523209227609","169.19399931298173","72.511713991277887","","",""
"Positive Sphere 3","13","82784.090920535717","15976.728381195611","139.38473706955642","59.73631588695276","","",""
"Positive Sphere 4","10","50225.185758271597","15968.712612995487","71.507482528466056","30.646063940771167","","",""
"Background Variability 1","37","","","","","","2.2770786260439579"
"Background Variability 2","28","","","","","","2.5419654605296089"
"Background Variability 3","22","","","","","","2.9816146537863797"
"Background Variability 4","17","","","","","","3.5008631053872472"
"Background Variability 5","13","","","","","","3.9731546356267287"
"Background Variability 6","10","","","","","","4.2569109673426944"
"Lung Error Slice +2cm","30","1672.2835150835692","15931.005274213316","","","","","10.497036981027223"
"Lung Error Slice +1cm","30","1522.734745793201","15931.005274213316","","","","","9.5583092189290273"
"Lung Error Slice Centre","30","1557.7951960906514","15931.005274213316","","","","","9.7783860420420101"
"Lung Error Slice -1cm","30","1617.4670560906516","15931.005274213316","","","","","10.152950352158635"
"Lung Error Slice -2cm","30","1431.4797793626062","15931.005274213316","","","","","8.9854956088657367"
